Product Title,Product SKU,Product Information,Sales Per Case
CLEVER CANDY ASSORTED DEXTROSE GUPPIES,"SKU
13977","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
618645139773


GTIN (case)
10694780230039


Pieces/LB
493


Country of Manufacture
Canada


Pallet Pattern
16 cases per layer, 4 layers. 64 total cases per pallet.",
CLEVER CANDY ASSORTED DEXTROSE SILLY BANANAS,"SKU
13974","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
968183183180


GTIN (case)
10694780212189


Pieces/LB
748


Country of Manufacture
Canada


Pallet Pattern
16 cases per layer, 4 layers. 64 total cases per pallet.",
CLEVER CANDY ASSORTED DEXTROSE STARZMANIA,"SKU
13978","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
618645139780


Pieces/LB
721


Country of Manufacture
Canada


Pallet Pattern
16 cases per layer, 4 layers. 64 total cases per pallet.",
CLEVER CANDY ASSORTED FISH 5.5 LB,"SKU
48464","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645484644


Certifications
Gluten Free


Country of Manufacture
Canada


Pallet Pattern
10 cases per layer, 7 layers. 70 total cases per pallet.",
"CLEVER CANDY ASSORTED GUMBALLS 1900 CT 0.73""","SKU
51872","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645518721


GTIN (case)
10618645518728


Country of Manufacture
China",
"CLEVER CANDY ASSORTED GUMBALLS 3650 CT 0.61""","SKU
51576","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645515768


GTIN (case)
10618645515765


Country of Manufacture
China",
"CLEVER CANDY ASSORTED GUMBALLS 5800 CT 0.53""","SKU
51871","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645518714


GTIN (case)
10618645518711


Country of Manufacture
China",
"CLEVER CANDY ASSORTED GUMBALLS 850 CT 1""","SKU
50671","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645506711


Country of Manufacture
China",
"CLEVER CANDY ASSORTED GUMBALLS 8500 CT 0.47""","SKU
51873","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645518738


GTIN (case)
10618645518735


Country of Manufacture
China",
CLEVER CANDY ASSORTED JAWBREAKER WITH CANDY CENTER 2.25 INCH 72 PIECES,"SKU
48145","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
618645312251


GTIN (case)
10694780200971


Country of Manufacture
Canada


Pallet Pattern
16 cases per layer, 4 layers. 64 total cases per pallet.",
